epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,590.61,1.38986,1.39966,0.99911,1,0.91333,0.95653,0.78803,1.33308,1.32571,0.99474,0.0702174,0.00330918,0.00330918
2,1431.72,1.33753,0.90087,0.97532,1,0.84059,0.92028,0.76951,1.25391,0.88976,1.00192,0.0401806,0.00660571,0.00660571
3,744.935,1.34521,0.88725,0.97769,1,0.87163,0.93576,0.7789,1.2836,0.92895,1.02384,0.00999768,0.00975613,0.00975613
4,1474.39,1.33878,0.87173,0.97897,1,0.82089,0.91042,0.75797,1.31629,1.17269,1.04162,0.00950953,0.00950953,0.00950953
5,2441.77,1.28349,0.82245,0.96621,1,0.85947,0.92972,0.7685,1.35249,0.92207,1.03317,0.00914058,0.00914058,0.00914058
6,3294.82,1.22758,0.76912,0.94914,1,0.89513,0.94745,0.78857,1.2621,0.82409,1.00895,0.00868198,0.00868198,0.00868198
7,620.879,1.19067,0.73063,0.93694,1,0.91799,0.9589,0.79981,1.22123,0.80233,0.98951,0.00814503,0.00814503,0.00814503
8,1249.33,1.15238,0.69786,0.92815,1,0.90967,0.95482,0.79953,1.21132,0.79424,0.9898,0.00754296,0.00754296,0.00754296
9,1933.0,1.1122,0.67097,0.91842,1,0.88343,0.94162,0.79248,1.19785,0.7598,0.98022,0.00689058,0.00689058,0.00689058
10,2577.96,1.07974,0.64467,0.90835,1,0.87767,0.93876,0.79293,1.16597,0.76547,0.98076,0.00620396,0.00620396,0.00620396
11,3249.81,1.05181,0.62871,0.9006,1,0.9003,0.95013,0.79765,1.20202,0.75986,0.98638,0.0055,0.0055,0.0055
12,3887.77,1.03388,0.61382,0.89635,1,0.90331,0.95154,0.80202,1.17119,0.73809,0.97542,0.00479604,0.00479604,0.00479604
13,4502.67,1.00244,0.5934,0.88797,1,0.90976,0.95487,0.80507,1.155,0.71286,0.96332,0.00410942,0.00410942,0.00410942
14,5115.67,0.97705,0.57253,0.88053,1,0.90391,0.95183,0.80291,1.15936,0.75159,0.97236,0.00345704,0.00345704,0.00345704
15,5718.49,0.95137,0.5549,0.87607,1,0.90373,0.95174,0.8059,1.12705,0.68749,0.95931,0.00285497,0.00285497,0.00285497
16,6301.68,0.92957,0.53822,0.86914,1,0.90432,0.95203,0.80797,1.12433,0.69447,0.95933,0.00231802,0.00231802,0.00231802
17,6902.66,0.91411,0.52539,0.86553,1,0.89746,0.94864,0.80769,1.09687,0.67294,0.94996,0.00185942,0.00185942,0.00185942
18,7488.39,0.89347,0.51133,0.85932,1,0.90816,0.954,0.81045,1.09772,0.65424,0.94987,0.00149047,0.00149047,0.00149047
19,8099.87,0.88802,0.50309,0.85771,1,0.89239,0.94611,0.80601,1.09649,0.65721,0.95041,0.00122025,0.00122025,0.00122025
20,8712.93,0.87413,0.49703,0.85357,1,0.89458,0.94717,0.8072,1.0997,0.64847,0.95285,0.0010554,0.0010554,0.0010554
21,572.747,0.94754,0.54371,0.87411,1,0.89449,0.94713,0.80645,1.09683,0.6732,0.9438,0.0702174,0.00330918,0.00330918
22,1187.36,0.97271,0.56091,0.87938,1,0.8987,0.94929,0.80672,1.11112,0.68688,0.95803,0.0401806,0.00660571,0.00660571
23,1771.46,1.01686,0.58338,0.8885,1,0.89509,0.94742,0.79855,1.18733,0.73558,0.97954,0.00999768,0.00975613,0.00975613
24,2361.41,1.04861,0.60856,0.89913,1,0.88183,0.94085,0.78592,1.22098,0.78617,1.00225,0.00950953,0.00950953,0.00950953
25,2985.28,1.08126,0.62629,0.90866,1,0.89431,0.94704,0.79436,1.21599,0.74887,0.99969,0.00914058,0.00914058,0.00914058
26,3592.85,1.06985,0.6235,0.90801,1,0.89952,0.94974,0.8016,1.16921,0.77095,0.97979,0.00868198,0.00868198,0.00868198
27,4194.6,1.04331,0.60586,0.90038,1,0.90213,0.95098,0.80398,1.14963,0.71723,0.97041,0.00814503,0.00814503,0.00814503
